lap,RIC,NOR,VET,RAI,GRO,GAS,PER,LEC,STR,MAG,ALB,KVY,HUL,VER,HAM,SAI,RUS,BOT,KUB,GIO
1,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
2,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
3,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
4,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
5,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
6,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
7,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
8,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
9,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
10,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
11,none,none,none,none,none,none,none,none,none,pitinlap,none,none,none,none,none,none,none,none,none,none
12,none,none,none,none,none,none,none,none,none,pitoutlap,none,none,none,none,none,none,none,none,none,none
13,none,none,none,none,none,none,none,none,none,pitinlap,none,none,none,none,none,none,none,none,none,none
14,none,none,none,none,none,none,none,none,none,pitoutlap,none,none,none,none,none,none,none,none,none,none
15,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
16,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
17,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
18,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
19,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,pitinlap,none
20,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,pitoutlap,none
21,none,none,pitinlap,none,none,none,none,none,none,none,none,none,none,none,none,none,none,pitinlap,none,none
22,none,none,pitoutlap,none,none,none,none,pitinlap,none,none,none,none,none,none,none,none,none,pitoutlap,none,none
23,none,none,none,pitinlap,none,none,none,pitoutlap,none,none,none,none,none,none,none,none,none,none,none,none
24,none,none,none,pitoutlap,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,pitinlap
25,none,pitinlap,none,none,none,pitinlap,none,none,pitinlap,none,none,none,none,none,none,none,none,none,none,pitoutlap
26,none,pitoutlap,none,none,none,pitoutlap,none,none,pitoutlap,none,none,none,pitinlap,none,none,none,none,none,none,none
27,none,none,none,none,none,none,none,none,none,none,none,none,pitoutlap,none,none,none,pitinlap,none,none,none
28,none,none,none,none,none,none,pitinlap,none,none,none,none,none,none,none,none,none,pitoutlap,none,none,none
29,none,none,none,none,none,none,pitoutlap,none,none,none,none,none,none,none,none,none,none,none,none,none
30,none,none,none,none,none,none,none,none,none,none,none,none,none,none,pitinlap,none,none,none,none,none
31,none,none,none,none,none,none,none,none,none,none,none,none,none,pitinlap,pitoutlap,none,none,none,none,none
32,none,none,none,none,none,none,none,none,none,none,none,pitinlap,none,pitoutlap,none,none,none,none,none,none
33,none,none,none,none,none,none,none,none,none,none,none,pitoutlap,none,none,none,none,none,none,none,none
34,none,none,none,none,pitinlap,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
35,none,none,none,none,pitoutlap,none,none,none,none,none,pitinlap,none,none,none,none,none,none,none,none,none
36,none,none,none,none,none,none,none,none,none,none,pitoutlap,none,none,none,none,none,none,none,none,none
37,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
38,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
39,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
40,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
41,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,pitinlap,none,none,none,none
42,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,pitoutlap,none,none,none,none
43,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
44,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
45,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
46,pitinlap,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
47,pitoutlap,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
48,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
49,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
50,none,none,pitinlap,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
51,none,none,pitoutlap,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
52,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
53,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
54,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
55,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
56,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
57,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
58,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
59,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
60,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
61,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
62,none,none,none,none,none,none,none,none,none,pitinlap,none,none,none,none,none,none,none,none,none,none
63,none,none,none,none,none,none,none,none,none,pitoutlap,none,none,none,none,none,none,none,none,none,none
64,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
65,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
66,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
67,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
68,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
69,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
70,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
71,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
