lap,RIC,NOR,VET,RAI,GRO,GAS,PER,LEC,STR,MAG,ALB,KVY,HUL,VER,HAM,SAI,RUS,BOT,KUB,GIO
1,78.511,76.011,76.511,77.011,83.011,78.011,82.011,73.587,81.511,83.511,79.011,79.511,81.011,74.087,75.087,80.011,80.511,74.587,82.511,77.511
2,71.491,71.491,71.491,71.491,72.037,71.491,71.735,69.281,71.735,72.037,71.491,71.491,71.735,69.490,69.882,71.548,71.735,69.882,72.037,71.491
3,71.471,71.471,71.471,71.471,71.696,71.471,71.394,69.275,71.394,71.696,71.471,71.471,71.394,69.149,69.547,71.415,71.394,69.547,71.696,71.471
4,71.452,71.452,71.452,71.452,71.998,71.452,71.374,69.569,71.374,71.998,71.452,71.452,71.374,69.485,69.856,71.452,71.374,69.856,71.998,71.452
5,71.432,71.432,71.432,71.432,71.979,71.432,71.355,69.563,71.355,71.979,71.432,71.432,71.355,69.563,69.843,71.432,71.355,69.843,71.979,71.432
6,71.413,71.413,71.413,71.413,71.959,71.413,71.402,69.558,71.402,71.959,71.413,71.413,71.402,69.558,69.831,71.413,71.402,69.831,71.959,71.413
7,71.394,71.394,71.394,71.394,71.940,71.394,71.394,69.552,71.394,71.940,71.394,71.394,71.394,69.552,69.818,71.394,71.394,69.818,71.940,71.394
8,71.374,71.374,71.374,71.374,71.920,71.374,71.374,69.546,71.374,71.920,71.374,71.374,71.374,69.546,69.805,71.374,71.374,69.805,71.920,71.374
9,71.355,71.355,71.355,71.355,71.901,71.355,71.355,69.541,71.355,71.901,71.355,71.355,71.355,69.541,69.793,71.355,71.355,69.793,71.901,71.355
10,71.335,71.335,71.335,71.335,71.881,71.335,71.335,69.535,71.335,71.881,71.335,71.335,71.335,69.535,69.780,71.335,71.335,69.780,71.881,71.335
11,71.316,71.316,71.316,71.316,71.862,71.316,71.316,69.529,71.316,74.553,71.316,71.316,71.316,69.529,69.767,71.316,71.316,69.767,71.862,71.316
12,71.296,71.296,71.296,71.296,71.843,71.296,71.296,69.523,71.296,86.115,71.296,71.296,71.296,69.523,69.754,71.296,71.296,69.754,71.843,71.296
13,71.277,71.277,71.277,71.277,71.823,71.277,71.277,69.518,71.277,73.291,71.277,71.277,71.277,69.518,69.742,71.277,71.277,69.742,71.823,71.277
14,71.258,71.258,71.258,71.258,71.804,71.258,71.258,69.512,71.258,86.076,71.258,71.258,71.258,69.512,69.729,71.258,71.258,69.729,71.804,71.258
15,71.238,71.238,71.238,71.238,71.784,71.238,71.238,69.506,71.238,70.561,71.238,71.238,71.238,69.506,69.716,71.238,71.238,69.716,71.784,71.238
16,71.219,71.219,71.219,71.219,71.765,71.219,71.219,69.500,71.219,70.542,71.219,71.219,71.219,69.500,69.703,71.219,71.219,69.703,71.765,71.219
17,71.199,71.199,71.199,71.199,71.745,71.199,71.199,69.495,71.199,70.523,71.199,71.199,71.199,69.495,69.691,71.199,71.199,69.691,71.745,71.199
18,71.180,71.180,71.180,71.180,71.726,71.180,71.180,69.489,71.180,70.503,71.180,71.180,71.180,69.489,69.678,71.180,71.180,69.678,71.726,71.180
19,71.160,71.160,71.160,71.160,71.707,71.160,71.160,69.483,71.160,70.484,71.160,71.160,71.160,69.483,69.665,71.160,71.160,69.665,74.398,71.160
20,71.141,71.141,71.141,71.141,70.519,71.141,71.141,69.477,71.141,70.464,71.141,71.141,71.141,69.477,69.652,71.141,71.141,69.652,85.991,71.141
21,71.121,71.121,73.812,71.121,70.541,71.121,71.121,69.472,71.121,70.445,71.121,71.121,71.121,69.472,69.640,71.121,71.121,72.331,70.967,71.121
22,70.728,71.102,83.748,70.602,70.564,70.728,71.197,72.157,71.197,70.425,70.728,71.197,71.197,69.466,69.127,71.197,71.197,83.711,70.966,70.602
23,70.956,71.083,70.318,73.774,70.886,70.956,71.005,83.588,71.005,70.406,70.956,70.875,71.005,69.082,69.114,70.875,71.005,68.975,70.965,71.083
24,70.690,71.063,70.908,84.794,70.908,70.690,71.066,68.697,71.066,70.386,70.690,71.196,71.066,69.063,69.101,71.196,71.066,68.969,70.964,73.254
25,70.992,73.435,70.930,69.569,70.930,73.683,71.196,68.685,73.887,70.367,70.992,71.196,71.196,69.043,69.089,71.196,71.196,68.963,70.963,84.760
26,70.474,85.458,70.953,70.809,70.953,85.083,70.695,68.674,84.653,70.348,70.474,71.195,73.886,69.024,69.076,71.195,71.195,68.956,70.961,71.442
27,70.461,70.720,70.975,70.975,70.975,70.720,70.695,68.662,69.418,70.328,70.461,71.195,84.759,69.005,69.063,71.195,73.886,68.950,70.960,70.720
28,70.447,70.700,68.937,70.797,71.297,70.700,73.385,68.651,69.419,70.309,70.447,71.194,72.189,68.985,69.051,71.194,85.753,68.944,70.959,70.700
29,70.433,70.681,68.948,71.019,71.019,70.681,84.822,68.639,69.719,70.289,70.433,71.194,70.763,68.966,69.038,71.194,70.763,68.938,70.958,70.681
30,70.420,70.640,68.936,71.042,71.042,70.640,69.287,68.627,70.517,70.270,70.420,71.194,70.407,68.946,71.716,71.194,70.407,68.931,70.956,70.640
31,70.406,71.064,68.925,71.064,71.064,71.064,69.288,68.616,71.064,70.250,70.406,71.193,70.728,71.618,83.085,71.193,70.728,68.925,70.955,71.064
32,70.393,71.086,70.552,71.086,71.086,71.086,70.395,68.604,71.086,70.231,70.393,73.884,70.726,83.296,68.510,71.193,70.726,68.919,70.954,71.086
33,70.379,71.108,70.945,71.108,71.108,71.108,71.108,68.593,71.108,70.212,70.379,85.145,70.725,68.517,69.114,70.945,70.725,69.213,70.953,71.108
34,70.365,71.131,70.926,71.131,73.822,71.131,71.131,68.581,71.131,70.595,70.365,70.713,70.724,68.520,69.206,70.926,70.724,69.206,71.251,71.131
35,70.352,70.242,70.906,69.111,85.176,70.242,70.242,68.570,70.242,71.089,73.043,70.723,70.723,68.522,69.200,70.906,70.723,69.200,71.089,70.242
36,70.038,70.545,70.887,70.650,69.822,70.545,70.545,68.558,70.545,71.249,84.843,70.721,70.721,68.525,69.194,70.887,70.721,69.194,71.249,70.545
37,70.024,70.525,70.867,69.489,69.803,70.525,70.525,68.547,70.525,71.248,69.489,70.720,70.720,68.528,69.188,70.867,70.720,69.188,71.248,70.525
