lap,RIC,NOR,VET,RAI,GRO,GAS,PER,LEC,STR,MAG,ALB,KVY,HUL,VER,HAM,SAI,RUS,BOT,KUB,GIO
0,12,5,9,6,11,8,13,1,14,10,18,16,15,2,4,19,20,3,17,7
1,10,5,6,7,19,9,17,1,16,20,11,12,15,2,4,13,14,3,18,8
2,10,5,6,7,19,9,17,1,16,20,11,12,15,2,4,13,14,3,18,8
3,10,5,6,7,19,9,17,1,16,20,11,12,15,2,4,13,14,3,18,8
4,10,5,6,7,19,9,17,1,16,20,11,12,15,2,4,13,14,3,18,8
5,10,5,6,7,19,9,17,1,16,20,11,12,15,2,4,13,14,3,18,8
6,10,5,6,7,19,9,17,1,16,20,11,12,15,2,4,13,14,3,18,8
7,10,5,6,7,19,9,17,1,16,20,11,12,15,2,4,13,14,3,18,8
8,10,5,6,7,19,9,17,1,16,20,11,12,15,2,4,13,14,3,18,8
9,10,5,6,7,19,9,17,1,16,20,11,12,15,2,4,13,14,3,18,8
10,10,5,6,7,19,9,17,1,16,20,11,12,15,2,4,13,14,3,18,8
11,10,5,6,7,19,9,17,1,16,20,11,12,15,2,4,13,14,3,18,8
12,10,5,6,7,19,9,17,1,16,20,11,12,15,2,4,13,14,3,18,8
13,10,5,6,7,19,9,17,1,16,20,11,12,15,2,4,13,14,3,18,8
14,10,5,6,7,19,9,17,1,16,20,11,12,15,2,4,13,14,3,18,8
15,10,5,6,7,19,9,17,1,16,20,11,12,15,2,4,13,14,3,18,8
16,10,5,6,7,19,9,17,1,16,20,11,12,15,2,4,13,14,3,18,8
17,10,5,6,7,19,9,17,1,16,20,11,12,15,2,4,13,14,3,18,8
18,10,5,6,7,19,9,17,1,16,20,11,12,15,2,4,13,14,3,18,8
19,10,5,6,7,18,9,17,1,16,20,11,12,15,2,4,13,14,3,19,8
20,10,5,6,7,18,9,17,1,16,20,11,12,15,2,4,13,14,3,19,8
21,9,5,11,6,18,8,17,1,16,20,10,12,15,2,3,13,14,4,19,7
22,9,5,18,6,17,8,16,2,15,20,10,11,14,1,3,12,13,4,19,7
23,8,5,18,10,17,7,16,3,15,20,9,11,14,1,2,12,13,4,19,6
24,7,5,17,18,16,6,15,3,14,20,8,10,13,1,2,11,12,4,19,9
25,5,7,16,17,15,9,13,3,14,20,6,8,12,1,2,10,11,4,19,18
26,5,15,13,14,12,17,10,3,18,20,6,7,11,1,2,8,9,4,19,16
27,5,14,12,13,11,16,9,3,17,20,6,7,18,1,2,8,10,4,19,15
28,5,13,10,12,11,15,9,3,16,20,6,7,18,1,2,8,17,4,19,14
29,5,12,9,11,10,14,16,3,15,20,6,7,18,1,2,8,17,4,19,13
30,5,12,9,11,10,14,16,3,15,20,6,7,18,1,2,8,17,4,19,13
31,5,12,9,11,10,14,16,2,15,20,6,7,18,1,4,8,17,3,19,13
32,5,12,8,11,10,14,16,1,15,20,6,9,18,2,4,7,17,3,19,13
33,5,11,8,10,9,13,15,1,14,20,6,18,17,2,4,7,16,3,19,12
34,5,10,8,9,14,12,15,1,13,20,6,18,17,2,4,7,16,3,19,11
35,5,10,8,9,18,12,14,1,13,20,6,17,16,2,4,7,15,3,19,11
36,5,10,7,9,18,12,14,1,13,20,8,17,16,2,4,6,15,3,19,11
37,5,10,7,9,18,12,14,1,13,20,8,17,16,2,4,6,15,3,19,11
38,5,10,7,9,18,12,14,1,13,20,8,17,16,2,4,6,15,3,19,11
39,5,10,7,9,18,12,14,1,13,20,8,17,16,2,4,6,15,3,19,11
40,5,10,7,9,18,12,14,1,13,20,8,17,16,2,4,6,15,3,19,11
41,5,10,6,8,18,12,14,1,13,20,7,17,16,2,4,9,15,3,19,11
42,5,9,6,8,18,11,13,1,12,20,7,16,15,2,4,17,14,3,19,10
43,5,9,6,8,18,11,13,1,12,20,7,16,15,2,4,17,14,3,19,10
44,5,9,6,8,18,11,13,1,12,20,7,16,15,2,4,17,14,3,19,10
45,5,9,6,8,18,11,13,1,12,20,7,16,15,2,4,17,14,3,19,10
46,5,9,6,8,18,11,13,1,12,20,7,16,15,2,4,17,14,3,19,10
47,8,9,5,7,18,11,13,1,12,20,6,16,15,2,4,17,14,3,19,10
48,8,9,5,7,18,11,13,1,12,20,6,16,15,2,4,17,14,3,19,10
49,8,9,5,7,18,11,13,1,12,20,6,16,15,2,4,17,14,3,19,10
50,8,9,5,7,18,11,13,1,12,20,6,16,15,2,4,17,14,3,19,10
51,7,9,8,6,18,11,13,1,12,20,5,16,15,2,4,17,14,3,19,10
52,7,9,8,6,18,11,13,1,12,20,5,16,15,2,4,17,14,3,19,10
53,7,9,8,6,18,11,13,1,12,20,5,16,15,2,4,17,14,3,19,10
54,7,9,8,6,18,11,13,1,12,20,5,16,15,2,4,17,14,3,19,10
55,7,9,8,6,18,11,13,1,12,20,5,16,15,2,4,17,14,3,19,10
56,7,9,8,6,18,11,13,1,12,20,5,16,15,2,4,17,14,3,19,10
57,7,9,8,6,18,11,13,1,12,20,5,16,15,2,4,17,14,3,19,10
58,7,9,8,6,18,11,13,1,12,20,5,16,15,2,4,17,14,3,19,10
59,7,9,8,6,18,11,13,1,12,20,5,16,15,2,4,17,14,3,19,10
60,7,9,8,6,18,11,13,1,12,20,5,16,15,2,4,17,14,3,19,10
61,7,9,8,6,18,11,13,1,12,20,5,16,15,2,4,17,14,3,19,10
62,7,9,8,6,18,11,13,1,12,20,5,16,15,2,4,17,14,3,19,10
63,7,9,8,6,18,11,13,1,12,20,5,16,15,2,4,17,14,3,19,10
64,7,9,8,6,18,11,13,1,12,20,5,16,15,2,4,17,14,3,19,10
65,7,9,8,6,18,11,13,1,12,20,5,16,15,2,4,17,14,3,19,10
66,7,9,8,6,18,11,13,1,12,20,5,16,15,2,4,17,14,3,19,10
67,7,9,8,6,18,11,13,1,12,20,5,16,15,2,4,17,14,3,19,10
68,7,9,8,6,18,11,13,1,12,20,5,16,15,2,4,17,14,3,19,10
69,7,9,8,6,18,11,13,1,12,20,5,16,15,2,4,17,14,3,19,10
70,7,9,8,6,18,11,13,1,12,20,5,16,15,2,4,17,14,3,19,10
71,7,9,8,6,18,11,13,1,12,20,5,16,15,2,4,17,14,3,19,10
