lap,RIC,NOR,VET,RAI,GRO,GAS,PER,LEC,STR,MAG,ALB,KVY,HUL,VER,HAM,SAI,RUS,BOT,KUB,GIO
1,78.511,76.011,76.511,77.011,83.011,78.011,82.011,73.587,81.511,83.511,79.011,79.511,81.011,74.087,75.087,80.011,80.511,74.587,82.511,77.511
2,150.002,147.502,148.002,148.502,155.048,149.502,153.746,142.868,153.246,155.548,150.502,151.002,152.746,143.578,144.969,151.559,152.246,144.469,154.548,149.002
3,221.473,218.973,219.473,219.973,226.744,220.973,225.140,212.143,224.640,227.244,221.973,222.473,224.140,212.727,214.516,222.973,223.640,214.016,226.244,220.473
4,292.925,290.425,290.925,291.425,298.742,292.425,296.514,281.712,296.014,299.242,293.425,293.925,295.514,282.212,284.372,294.425,295.014,283.872,298.242,291.925
5,364.358,361.858,362.358,362.858,370.720,363.858,367.868,351.276,367.368,371.220,364.858,365.358,366.868,351.776,354.216,365.858,366.368,353.716,370.220,363.358
6,435.771,433.271,433.771,434.271,442.680,435.271,439.271,420.833,438.771,443.180,436.271,436.771,438.271,421.333,424.046,437.271,437.771,423.546,442.180,434.771
7,507.164,504.664,505.164,505.664,514.619,506.664,510.664,490.385,510.164,515.119,507.664,508.164,509.664,490.885,493.864,508.664,509.164,493.364,514.119,506.164
8,578.538,576.038,576.538,577.038,586.540,578.038,582.038,559.932,581.538,587.040,579.038,579.538,581.038,560.432,563.670,580.038,580.538,563.170,586.040,577.538
9,649.893,647.393,647.893,648.393,658.441,649.393,653.393,629.472,652.893,658.941,650.393,650.893,652.393,629.972,633.462,651.393,651.893,632.962,657.941,648.893
10,721.228,718.728,719.228,719.728,730.322,720.728,724.728,699.007,724.228,730.822,721.728,722.228,723.728,699.507,703.242,722.728,723.228,702.742,729.822,720.228
11,792.544,790.044,790.544,791.044,802.184,792.044,796.044,768.536,795.544,805.375,793.044,793.544,795.044,769.036,773.009,794.044,794.544,772.509,801.684,791.544
12,863.841,861.341,861.841,862.341,874.027,863.341,867.341,838.059,866.841,891.490,864.341,864.841,866.341,838.559,842.763,865.341,865.841,842.263,873.527,862.841
13,935.118,932.618,933.118,933.618,945.850,934.618,938.618,907.577,938.118,964.781,935.618,936.118,937.618,908.077,912.505,936.618,937.118,912.005,945.350,934.118
14,1006.375,1003.875,1004.375,1004.875,1017.654,1005.875,1009.875,977.089,1009.375,1050.857,1006.875,1007.375,1008.875,977.589,982.234,1007.875,1008.375,981.734,1017.154,1005.375
15,1077.613,1075.113,1075.613,1076.113,1089.438,1077.113,1081.113,1046.595,1080.613,1121.418,1078.113,1078.613,1080.113,1047.095,1051.950,1079.113,1079.613,1051.450,1088.938,1076.613
16,1148.832,1146.332,1146.832,1147.332,1161.203,1148.332,1152.332,1116.095,1151.832,1191.960,1149.332,1149.832,1151.332,1116.595,1121.653,1150.332,1150.832,1121.153,1160.703,1147.832
17,1220.031,1217.531,1218.031,1218.531,1232.948,1219.531,1223.531,1185.590,1223.031,1262.483,1220.531,1221.031,1222.531,1186.090,1191.344,1221.531,1222.031,1190.844,1232.448,1219.031
18,1291.211,1288.711,1289.211,1289.711,1304.674,1290.711,1294.711,1255.078,1294.211,1332.986,1291.711,1292.211,1293.711,1255.578,1261.021,1292.711,1293.211,1260.521,1304.174,1290.211
19,1362.371,1359.871,1360.371,1360.871,1376.381,1361.871,1365.871,1324.562,1365.371,1403.470,1362.871,1363.371,1364.871,1325.062,1330.687,1363.871,1364.371,1330.187,1378.572,1361.371
20,1433.512,1431.012,1431.512,1432.012,1446.900,1433.012,1437.012,1394.039,1436.512,1473.934,1434.012,1434.512,1436.012,1394.539,1400.339,1435.012,1435.512,1399.839,1464.562,1432.512
21,1504.634,1502.134,1505.325,1503.134,1517.441,1504.134,1508.134,1463.511,1507.634,1544.379,1505.134,1505.634,1507.134,1464.011,1469.979,1506.134,1506.634,1472.170,1535.530,1503.634
22,1575.362,1573.236,1589.072,1573.736,1588.005,1574.862,1579.331,1535.668,1578.831,1614.804,1575.862,1576.831,1578.331,1533.477,1539.106,1577.331,1577.831,1555.881,1606.496,1574.236
23,1646.318,1644.318,1659.390,1647.509,1658.890,1645.818,1650.335,1619.256,1649.835,1685.210,1646.818,1647.705,1649.335,1602.559,1608.220,1648.205,1648.835,1624.856,1677.461,1645.318
24,1717.008,1715.381,1730.298,1732.303,1729.798,1716.508,1721.401,1687.952,1720.901,1755.596,1717.508,1718.901,1720.401,1671.622,1677.321,1719.401,1719.901,1693.825,1748.425,1718.572
25,1788.000,1788.816,1801.229,1801.872,1800.729,1790.191,1792.597,1756.638,1794.788,1825.963,1788.500,1790.097,1791.597,1740.665,1746.410,1790.597,1791.097,1762.787,1819.387,1803.332
26,1858.474,1874.274,1872.181,1872.681,1871.681,1875.274,1863.292,1825.311,1879.441,1896.311,1858.974,1861.292,1865.483,1809.689,1815.486,1861.792,1862.292,1831.743,1890.349,1874.774
27,1928.935,1944.994,1943.156,1943.656,1942.656,1945.994,1933.987,1893.973,1948.860,1966.639,1929.435,1932.487,1950.242,1878.694,1884.549,1932.987,1936.178,1900.694,1961.309,1945.494
28,1999.382,2015.694,2012.094,2014.453,2013.953,2016.694,2007.373,1962.624,2018.278,2036.948,1999.882,2003.682,2022.431,1947.679,1953.600,2004.182,2021.931,1969.637,2032.268,2016.194
29,2069.816,2086.375,2081.041,2085.473,2084.973,2087.375,2092.194,2031.263,2087.998,2107.237,2070.316,2074.876,2093.194,2016.645,2022.638,2075.376,2092.694,2038.575,2103.225,2086.875
30,2140.235,2157.014,2149.978,2156.514,2156.014,2158.014,2161.481,2099.890,2158.514,2177.507,2140.735,2146.069,2163.601,2085.591,2094.354,2146.569,2163.101,2107.506,2174.181,2157.514
31,2210.642,2228.078,2218.903,2227.578,2227.078,2229.078,2230.769,2168.506,2229.578,2247.757,2211.142,2217.262,2234.329,2157.209,2177.439,2217.762,2233.829,2176.431,2245.137,2228.578
32,2281.034,2299.164,2289.455,2298.664,2298.164,2300.164,2301.164,2237.110,2300.664,2317.988,2281.534,2291.146,2305.055,2240.505,2245.949,2288.955,2304.555,2245.350,2316.090,2299.664
33,2351.413,2370.273,2360.400,2369.773,2369.273,2371.273,2372.273,2305.703,2371.773,2388.200,2351.913,2376.291,2375.780,2309.022,2315.063,2359.900,2375.280,2314.563,2387.043,2370.773
34,2421.778,2441.403,2431.325,2440.903,2443.094,2442.403,2443.403,2374.285,2442.903,2458.794,2422.278,2447.004,2446.504,2377.542,2384.269,2430.825,2446.004,2383.769,2458.294,2441.903
35,2492.130,2511.646,2502.232,2510.014,2528.270,2512.646,2513.646,2442.854,2513.146,2529.884,2495.321,2517.726,2517.226,2446.064,2453.469,2501.732,2516.726,2452.969,2529.384,2512.146
36,2562.168,2582.190,2573.118,2580.664,2598.092,2583.190,2584.190,2511.413,2583.690,2601.133,2580.164,2588.448,2587.948,2514.590,2522.663,2572.618,2587.448,2522.163,2600.633,2582.690
37,2632.192,2652.716,2643.986,2650.152,2667.895,2653.716,2654.716,2579.959,2654.216,2672.380,2649.652,2659.168,2658.668,2583.117,2591.851,2643.486,2658.168,2591.351,2671.880,2653.216
38,2702.203,2723.221,2714.833,2719.637,2737.678,2724.221,2725.221,2648.494,2724.721,2743.627,2719.137,2729.886,2729.386,2651.648,2661.032,2714.333,2728.886,2660.532,2743.127,2723.721
39,2772.200,2793.708,2785.662,2789.118,2807.442,2794.708,2795.708,2717.018,2795.208,2814.872,2788.618,2800.604,2800.104,2720.181,2730.208,2785.162,2799.604,2729.708,2814.372,2794.208
40,2842.184,2864.175,2856.471,2858.594,2877.187,2865.175,2866.175,2785.530,2865.675,2886.116,2858.094,2871.320,2870.820,2788.717,2799.377,2855.971,2870.320,2798.877,2885.616,2864.675
41,2912.154,2934.622,2927.260,2928.260,2946.912,2935.622,2936.622,2854.031,2936.122,2957.359,2927.760,2942.036,2941.536,2857.255,2868.539,2929.451,2941.036,2868.039,2956.859,2935.122
42,2982.110,3005.050,2996.058,2997.407,3016.617,3006.050,3007.050,2922.520,3006.550,3028.600,2996.907,3012.749,3012.249,2925.796,2937.696,3013.334,3011.749,2937.196,3028.100,3005.550
43,3052.052,3075.459,3064.845,3066.549,3086.304,3076.459,3077.459,2990.997,3076.959,3099.840,3066.049,3083.462,3082.962,2994.340,3006.846,3083.962,3082.462,3006.346,3099.340,3075.959
44,3121.981,3145.848,3133.619,3136.010,3155.970,3146.848,3147.848,3059.463,3147.348,3171.079,3135.510,3154.174,3153.674,3062.886,3075.990,3154.674,3153.174,3075.490,3170.579,3146.348
45,3191.897,3216.218,3202.383,3205.466,3225.918,3217.218,3218.218,3127.917,3217.718,3242.317,3204.966,3224.884,3224.384,3131.435,3145.128,3225.384,3223.884,3144.628,3241.817,3216.718
46,3264.489,3286.568,3271.134,3274.918,3296.593,3287.568,3288.568,3196.360,3288.068,3313.554,3274.418,3295.593,3295.093,3199.987,3214.259,3296.093,3294.593,3213.759,3313.054,3287.068
47,3348.657,3356.899,3339.875,3344.367,3367.300,3357.899,3358.899,3264.792,3358.399,3384.789,3343.867,3366.300,3365.800,3268.542,3283.385,3366.800,3365.300,3282.885,3384.289,3357.399
48,3417.496,3427.211,3408.603,3413.811,3438.007,3428.211,3429.211,3333.211,3428.711,3456.023,3413.311,3437.007,3436.507,3337.099,3352.504,3437.507,3436.007,3352.004,3455.523,3427.711
49,3486.315,3497.503,3477.321,3483.251,3508.712,3498.503,3499.503,3401.620,3499.003,3527.256,3482.751,3507.712,3507.212,3405.658,3421.617,3508.212,3506.712,3421.117,3526.756,3498.003
50,3555.114,3567.776,3548.717,3552.688,3579.416,3568.776,3569.776,3470.016,3569.276,3598.488,3552.188,3578.416,3577.916,3474.221,3490.723,3578.916,3577.416,3490.223,3597.988,3568.276
51,3623.894,3638.029,3631.655,3622.120,3650.119,3639.029,3640.029,3538.401,3639.529,3669.718,3621.620,3649.119,3648.619,3542.786,3559.824,3649.619,3648.119,3559.324,3669.218,3638.529
52,3692.655,3708.262,3699.708,3691.548,3720.820,3709.262,3710.262,3606.775,3709.762,3740.947,3691.048,3719.820,3719.320,3611.354,3628.918,3720.320,3718.820,3628.418,3740.447,3708.762
53,3761.696,3778.477,3767.754,3760.972,3791.521,3779.477,3780.477,3675.137,3779.977,3812.175,3760.472,3790.521,3790.021,3679.924,3698.006,3791.021,3789.521,3697.506,3811.675,3778.977
54,3830.892,3848.672,3835.795,3830.392,3862.220,3849.672,3850.672,3743.488,3850.172,3883.402,3829.892,3861.220,3860.720,3748.497,3767.087,3861.720,3860.220,3766.587,3882.902,3849.172
55,3900.308,3918.847,3903.831,3899.808,3932.918,3919.847,3920.847,3811.827,3920.347,3954.627,3899.308,3931.918,3931.418,3817.073,3836.163,3932.418,3930.918,3835.663,3954.127,3919.347
56,3969.720,3989.003,3971.860,3969.220,4003.614,3990.003,3991.003,3880.154,3990.503,4025.851,3968.720,4002.614,4002.114,3885.651,3905.232,4003.114,4001.614,3904.732,4025.351,3989.503
57,4039.128,4059.140,4039.884,4038.628,4074.310,4060.140,4061.140,3948.470,4060.640,4097.074,4038.128,4073.310,4072.810,3954.232,3974.295,4073.810,4072.310,3973.795,4096.574,4059.640
58,4108.532,4129.257,4109.032,4108.032,4145.004,4130.257,4131.257,4016.775,4130.757,4168.296,4107.532,4144.004,4143.504,4022.816,4043.352,4144.504,4143.004,4042.852,4167.796,4129.757
59,4177.932,4199.354,4178.432,4177.432,4215.697,4200.354,4201.354,4085.067,4200.854,4239.516,4176.932,4214.697,4214.197,4091.402,4112.402,4215.197,4213.697,4111.902,4239.016,4199.854
60,4247.328,4269.433,4247.828,4246.828,4286.388,4270.433,4271.433,4153.349,4270.933,4310.736,4246.328,4285.388,4284.888,4159.991,4181.446,4285.888,4284.388,4180.946,4310.236,4269.933
61,4316.719,4339.491,4317.219,4316.219,4357.079,4340.491,4341.491,4221.619,4340.991,4381.954,4315.719,4356.079,4355.579,4228.583,4250.484,4356.579,4355.079,4249.984,4381.454,4339.991
62,4386.107,4409.531,4386.607,4385.607,4427.768,4410.531,4411.531,4289.877,4411.031,4455.861,4385.107,4426.768,4426.268,4297.177,4319.516,4427.268,4425.768,4319.016,4452.670,4410.031
63,4455.491,4479.551,4455.991,4454.991,4498.456,4480.551,4481.551,4358.124,4481.051,4541.193,4454.491,4497.456,4496.956,4365.774,4388.542,4497.956,4496.456,4388.042,4523.586,4480.051
64,4524.871,4549.551,4525.371,4524.371,4569.142,4550.551,4551.551,4426.359,4551.051,4611.010,4523.871,4568.142,4567.642,4434.374,4457.561,4568.642,4567.142,4457.061,4594.500,4550.051
65,4594.246,4619.532,4594.746,4593.746,4639.828,4620.532,4621.532,4494.582,4621.032,4680.807,4593.246,4638.828,4638.328,4502.977,4526.574,4639.328,4637.828,4526.074,4665.413,4620.032
66,4663.618,4689.494,4664.118,4663.118,4710.526,4690.494,4691.494,4562.795,4690.994,4750.585,4662.618,4709.512,4709.012,4571.582,4595.581,4710.026,4708.512,4595.081,4736.325,4689.994
67,4732.985,4759.436,4733.485,4732.485,4781.303,4760.436,4761.436,4630.995,4760.936,4820.344,4731.985,4780.195,4779.695,4640.189,4664.581,4780.803,4779.195,4664.081,4807.236,4759.936
68,4802.349,4829.359,4802.849,4801.849,4852.158,4830.359,4831.359,4699.184,4830.859,4890.083,4801.349,4850.877,4850.377,4708.800,4733.576,4851.658,4849.877,4733.076,4878.145,4829.859
69,4871.708,4899.262,4872.208,4871.208,4923.091,4900.262,4901.262,4767.362,4900.762,4959.803,4870.708,4921.557,4921.057,4777.413,4802.564,4922.591,4920.557,4802.064,4949.053,4899.762
70,4941.064,4969.146,4941.564,4940.564,nan,4970.146,4971.146,4835.528,4970.646,nan,4940.064,nan,nan,4846.028,4871.546,nan,nan,4871.046,nan,4969.646
71,nan,nan,nan,nan,nan,nan,nan,4903.682,nan,nan,nan,nan,nan,4914.647,4940.521,nan,nan,4940.021,nan,nan
