,Driver,LapNumber,IsPersonalBest,Compound,TyreLife,Team,Position,Location,Year,LastTeamRanking,second_compound,status,RaceProgress,TyreStressLevel,TrackTemp,close_ahead,close_behind,is_pitting_ahead,is_pitting_behind,RealPitting,ModelPitting
62578,PER,6.0,False,SOFT,9.0,RedBull,3.0,Sakhir,2023,1.0,False,1,0.1052631578947368,3,30.9,False,True,False,False,0,0
62579,PER,7.0,False,SOFT,10.0,RedBull,3.0,Sakhir,2023,1.0,False,1,0.1228070175438596,3,30.9,False,True,False,False,0,0
62580,PER,8.0,False,SOFT,11.0,RedBull,3.0,Sakhir,2023,1.0,False,1,0.1403508771929824,3,30.9,False,True,False,False,0,0
62581,PER,9.0,False,SOFT,12.0,RedBull,3.0,Sakhir,2023,1.0,False,1,0.1578947368421052,3,30.8,False,True,False,False,0,1
62582,PER,10.0,False,SOFT,13.0,RedBull,3.0,Sakhir,2023,1.0,False,1,0.175438596491228,3,30.6,False,True,False,False,0,1
62583,PER,11.0,False,SOFT,14.0,RedBull,3.0,Sakhir,2023,1.0,False,1,0.1929824561403508,3,30.6,False,True,False,False,0,1
62584,PER,12.0,False,SOFT,15.0,RedBull,3.0,Sakhir,2023,1.0,False,1,0.2105263157894736,3,30.5,False,True,False,False,0,1
62585,PER,13.0,False,SOFT,16.0,RedBull,2.0,Sakhir,2023,1.0,False,1,0.2280701754385964,3,30.5,True,False,False,False,0,1
62586,PER,14.0,False,SOFT,17.0,RedBull,2.0,Sakhir,2023,1.0,False,1,0.2456140350877192,3,30.5,True,True,True,False,0,1
62587,PER,15.0,False,SOFT,18.0,RedBull,1.0,Sakhir,2023,1.0,False,1,0.2631578947368421,3,30.5,False,True,False,False,0,1
62588,PER,16.0,False,SOFT,19.0,RedBull,1.0,Sakhir,2023,1.0,False,1,0.2807017543859649,3,30.3,False,True,False,False,1,1
62589,PER,17.0,False,SOFT,20.0,RedBull,1.0,Sakhir,2023,1.0,False,1,0.2982456140350877,3,30.3,False,True,False,False,0,1
62590,PER,18.0,False,SOFT,3.0,RedBull,3.0,Sakhir,2023,1.0,False,1,0.3157894736842105,3,30.3,False,True,False,False,0,0
62591,PER,19.0,True,SOFT,4.0,RedBull,3.0,Sakhir,2023,1.0,False,1,0.3333333333333333,3,30.2,False,True,False,False,0,0
62592,PER,20.0,True,SOFT,5.0,RedBull,3.0,Sakhir,2023,1.0,False,1,0.3508771929824561,3,30.2,False,True,False,False,0,0
62593,PER,21.0,True,SOFT,6.0,RedBull,3.0,Sakhir,2023,1.0,False,1,0.3684210526315789,3,30.1,False,True,False,False,0,0
62594,PER,22.0,True,SOFT,7.0,RedBull,3.0,Sakhir,2023,1.0,False,1,0.3859649122807017,3,30.0,False,True,False,False,0,0
62595,PER,23.0,False,SOFT,8.0,RedBull,3.0,Sakhir,2023,1.0,False,1,0.4035087719298245,3,29.9,False,True,False,False,0,0
62596,PER,24.0,False,SOFT,9.0,RedBull,3.0,Sakhir,2023,1.0,False,1,0.4210526315789473,3,29.9,False,True,False,False,0,0
62597,PER,25.0,False,SOFT,10.0,RedBull,3.0,Sakhir,2023,1.0,False,1,0.4385964912280701,3,29.9,False,True,False,False,0,0
62598,PER,26.0,False,SOFT,11.0,RedBull,2.0,Sakhir,2023,1.0,False,1,0.4561403508771929,3,29.9,True,False,False,False,0,0
62599,PER,27.0,False,SOFT,12.0,RedBull,2.0,Sakhir,2023,1.0,False,1,0.4736842105263157,3,29.9,True,False,False,False,0,0
62600,PER,28.0,False,SOFT,13.0,RedBull,2.0,Sakhir,2023,1.0,False,1,0.4912280701754385,3,29.9,True,False,False,False,0,1
62601,PER,29.0,False,SOFT,14.0,RedBull,2.0,Sakhir,2023,1.0,False,1,0.5087719298245614,3,29.7,True,False,False,False,0,1
62602,PER,30.0,False,SOFT,15.0,RedBull,2.0,Sakhir,2023,1.0,False,1,0.5263157894736842,3,29.7,True,False,False,False,0,1
62603,PER,31.0,False,SOFT,16.0,RedBull,2.0,Sakhir,2023,1.0,False,1,0.543859649122807,3,29.6,True,False,False,False,0,1
62604,PER,32.0,False,SOFT,17.0,RedBull,2.0,Sakhir,2023,1.0,False,1,0.5614035087719298,3,29.6,True,False,False,False,0,1
62605,PER,33.0,False,SOFT,18.0,RedBull,2.0,Sakhir,2023,1.0,False,1,0.5789473684210527,3,29.6,True,False,False,False,1,1
62606,PER,34.0,False,SOFT,19.0,RedBull,2.0,Sakhir,2023,1.0,False,1,0.5964912280701754,3,29.6,True,True,False,True,0,1
62607,PER,35.0,False,HARD,1.0,RedBull,2.0,Sakhir,2023,1.0,True,1,0.6140350877192983,3,29.6,True,False,False,False,0,0
