,index,Driver,Position,Year,Location
0,5,VET,1.0,2018,Melbourne
1,44,HAM,2.0,2018,Melbourne
2,7,RAI,3.0,2018,Melbourne
3,3,RIC,4.0,2018,Melbourne
4,14,ALO,5.0,2018,Melbourne
5,33,VER,6.0,2018,Melbourne
6,27,HUL,7.0,2018,Melbourne
7,77,BOT,8.0,2018,Melbourne
8,2,VAN,9.0,2018,Melbourne
9,55,SAI,10.0,2018,Melbourne
10,11,PER,11.0,2018,Melbourne
11,31,OCO,12.0,2018,Melbourne
12,16,LEC,13.0,2018,Melbourne
13,18,STR,14.0,2018,Melbourne
14,28,HAR,15.0,2018,Melbourne
15,8,GRO,16.0,2018,Melbourne
16,20,MAG,17.0,2018,Melbourne
17,10,GAS,18.0,2018,Melbourne
18,9,ERI,19.0,2018,Melbourne
19,35,SIR,20.0,2018,Melbourne
20,5,VET,1.0,2018,Sakhir
21,77,BOT,2.0,2018,Sakhir
22,44,HAM,3.0,2018,Sakhir
23,10,GAS,4.0,2018,Sakhir
24,20,MAG,5.0,2018,Sakhir
25,27,HUL,6.0,2018,Sakhir
26,14,ALO,7.0,2018,Sakhir
27,2,VAN,8.0,2018,Sakhir
28,9,ERI,9.0,2018,Sakhir
29,31,OCO,10.0,2018,Sakhir
30,55,SAI,11.0,2018,Sakhir
31,16,LEC,12.0,2018,Sakhir
32,8,GRO,13.0,2018,Sakhir
33,18,STR,14.0,2018,Sakhir
34,35,SIR,15.0,2018,Sakhir
35,11,PER,16.0,2018,Sakhir
36,28,HAR,17.0,2018,Sakhir
37,7,RAI,18.0,2018,Sakhir
38,33,VER,19.0,2018,Sakhir
39,3,RIC,20.0,2018,Sakhir
40,3,RIC,1.0,2018,Shanghai
41,77,BOT,2.0,2018,Shanghai
42,7,RAI,3.0,2018,Shanghai
43,44,HAM,4.0,2018,Shanghai
44,33,VER,5.0,2018,Shanghai
45,27,HUL,6.0,2018,Shanghai
46,14,ALO,7.0,2018,Shanghai
47,5,VET,8.0,2018,Shanghai
48,55,SAI,9.0,2018,Shanghai
49,20,MAG,10.0,2018,Shanghai
50,31,OCO,11.0,2018,Shanghai
51,11,PER,12.0,2018,Shanghai
52,2,VAN,13.0,2018,Shanghai
53,18,STR,14.0,2018,Shanghai
54,35,SIR,15.0,2018,Shanghai
55,9,ERI,16.0,2018,Shanghai
56,8,GRO,17.0,2018,Shanghai
57,10,GAS,18.0,2018,Shanghai
58,16,LEC,19.0,2018,Shanghai
59,28,HAR,20.0,2018,Shanghai
60,44,HAM,1.0,2018,Baku
61,7,RAI,2.0,2018,Baku
62,11,PER,3.0,2018,Baku
63,5,VET,4.0,2018,Baku
64,55,SAI,5.0,2018,Baku
65,16,LEC,6.0,2018,Baku
66,14,ALO,7.0,2018,Baku
67,18,STR,8.0,2018,Baku
68,2,VAN,9.0,2018,Baku
69,28,HAR,10.0,2018,Baku
70,9,ERI,11.0,2018,Baku
71,10,GAS,12.0,2018,Baku
72,20,MAG,13.0,2018,Baku
73,77,BOT,14.0,2018,Baku
74,8,GRO,15.0,2018,Baku
75,33,VER,16.0,2018,Baku
76,3,RIC,17.0,2018,Baku
77,27,HUL,18.0,2018,Baku
78,31,OCO,19.0,2018,Baku
79,35,SIR,20.0,2018,Baku
80,44,HAM,1.0,2018,Barcelona
81,77,BOT,2.0,2018,Barcelona
82,33,VER,3.0,2018,Barcelona
83,5,VET,4.0,2018,Barcelona
84,3,RIC,5.0,2018,Barcelona
85,20,MAG,6.0,2018,Barcelona
86,55,SAI,7.0,2018,Barcelona
87,14,ALO,8.0,2018,Barcelona
88,11,PER,9.0,2018,Barcelona
89,16,LEC,10.0,2018,Barcelona
90,18,STR,11.0,2018,Barcelona
91,28,HAR,12.0,2018,Barcelona
92,9,ERI,13.0,2018,Barcelona
93,35,SIR,14.0,2018,Barcelona
94,2,VAN,15.0,2018,Barcelona
95,31,OCO,16.0,2018,Barcelona
96,7,RAI,17.0,2018,Barcelona
97,8,GRO,18.0,2018,Barcelona
98,10,GAS,19.0,2018,Barcelona
99,27,HUL,20.0,2018,Barcelona
100,3,RIC,1.0,2018,Monte Carlo
101,5,VET,2.0,2018,Monte Carlo
102,44,HAM,3.0,2018,Monte Carlo
103,7,RAI,4.0,2018,Monte Carlo
104,77,BOT,5.0,2018,Monte Carlo
105,31,OCO,6.0,2018,Monte Carlo
106,10,GAS,7.0,2018,Monte Carlo
107,27,HUL,8.0,2018,Monte Carlo
108,33,VER,9.0,2018,Monte Carlo
109,55,SAI,10.0,2018,Monte Carlo
110,9,ERI,11.0,2018,Monte Carlo
111,11,PER,12.0,2018,Monte Carlo
112,20,MAG,13.0,2018,Monte Carlo
113,2,VAN,14.0,2018,Monte Carlo
114,8,GRO,15.0,2018,Monte Carlo
115,35,SIR,16.0,2018,Monte Carlo
116,18,STR,17.0,2018,Monte Carlo
117,16,LEC,18.0,2018,Monte Carlo
118,28,HAR,19.0,2018,Monte Carlo
119,14,ALO,20.0,2018,Monte Carlo
120,5,VET,1.0,2018,Montréal
121,77,BOT,2.0,2018,Montréal
122,33,VER,3.0,2018,Montréal
123,3,RIC,4.0,2018,Montréal
124,44,HAM,5.0,2018,Montréal
125,7,RAI,6.0,2018,Montréal
126,27,HUL,7.0,2018,Montréal
127,55,SAI,8.0,2018,Montréal
128,31,OCO,9.0,2018,Montréal
129,16,LEC,10.0,2018,Montréal
130,10,GAS,11.0,2018,Montréal
131,8,GRO,12.0,2018,Montréal
132,20,MAG,13.0,2018,Montréal
133,11,PER,14.0,2018,Montréal
134,9,ERI,15.0,2018,Montréal
135,2,VAN,16.0,2018,Montréal
136,35,SIR,17.0,2018,Montréal
137,14,ALO,18.0,2018,Montréal
138,28,HAR,19.0,2018,Montréal
139,18,STR,20.0,2018,Montréal
140,44,HAM,1.0,2018,Le Castellet
141,33,VER,2.0,2018,Le Castellet
142,7,RAI,3.0,2018,Le Castellet
143,3,RIC,4.0,2018,Le Castellet
144,5,VET,5.0,2018,Le Castellet
145,20,MAG,6.0,2018,Le Castellet
146,77,BOT,7.0,2018,Le Castellet
147,55,SAI,8.0,2018,Le Castellet
148,27,HUL,9.0,2018,Le Castellet
149,16,LEC,10.0,2018,Le Castellet
150,8,GRO,11.0,2018,Le Castellet
151,2,VAN,12.0,2018,Le Castellet
152,9,ERI,13.0,2018,Le Castellet
153,28,HAR,14.0,2018,Le Castellet
154,35,SIR,15.0,2018,Le Castellet
155,14,ALO,16.0,2018,Le Castellet
156,18,STR,17.0,2018,Le Castellet
157,11,PER,18.0,2018,Le Castellet
158,31,OCO,19.0,2018,Le Castellet
159,10,GAS,20.0,2018,Le Castellet
160,33,VER,1.0,2018,Spielberg
161,7,RAI,2.0,2018,Spielberg
