,2017,2018,2019,2020,2021,2022,2023
0,Melbourne,Melbourne,Melbourne,Barcelona,Bahrain,Spain,Sakhir
1,Shanghai,Sakhir,Sakhir,Barcelona,Sakhir,Bahrain,Sakhir
2,Sakhir,Shanghai,Shanghai,Spielberg,Imola,Sakhir,Jeddah
3,Sochi,Baku,Baku,Spielberg,Portimão,Jeddah,Melbourne
4,Montmeló,Barcelona,Barcelona,Budapest,Barcelona,Melbourne,Baku
5,Monte-Carlo,Monte Carlo,Monte Carlo,Silverstone,Monte Carlo,Imola,Miami
6,Montreal,Montréal,Montréal,Silverstone,Baku,Miami,Monaco
7,Baku,Le Castellet,Le Castellet,Barcelona,Le Castellet,Barcelona,Barcelona
8,Spielberg,Spielberg,Spielberg,Spa-Francorchamps,Spielberg,Monaco,Montréal
9,Silverstone,Silverstone,Silverstone,Monza,Spielberg,Baku,Spielberg
10,Budapest,Hockenheim,Hockenheim,Mugello,Silverstone,Montréal,Silverstone
11,Spa,Budapest,Budapest,Sochi,Budapest,Silverstone,Budapest
12,Monza,Spa-Francorchamps,Spa-Francorchamps,Nürburgring,Spa-Francorchamps,Spielberg,Spa-Francorchamps
13,Marina Bay,Monza,Monza,Portimão,Zandvoort,Le Castellet,Zandvoort
14,Kuala Lumpur,Singapore,Singapore,Imola,Monza,Budapest,Monza
15,Suzuka,Sochi,Sochi,Istanbul,Sochi,Spa-Francorchamps,Marina Bay
16,Austin,Suzuka,Suzuka,Sakhir,Istanbul,Zandvoort,Suzuka
17,Mexico City,Austin,Mexico City,Sakhir,Austin,Monza,Lusail
18,São Paulo,Mexico City,Austin,Yas Island,Mexico City,Marina Bay,Austin
19,Abu Dhabi,São Paulo,São Paulo,,São Paulo,Suzuka,Mexico City
20,,Yas Marina,Yas Island,,Lusail,Austin,São Paulo
21,,,,,Jeddah,Mexico City,Las Vegas
22,,,,,Yas Island,São Paulo,Yas Island
23,,,,,,Yas Island,
