,Time,Status,Message,Location,Year
0,0 days 00:14:47.534000,2,Yellow,Melbourne,2018
1,0 days 00:14:54.676000,1,AllClear,Melbourne,2018
2,0 days 00:14:55.424000,2,Yellow,Melbourne,2018
3,0 days 00:17:32.340000,1,AllClear,Melbourne,2018
4,0 days 00:21:00.464000,2,Yellow,Melbourne,2018
5,0 days 00:21:02.731000,1,AllClear,Melbourne,2018
6,0 days 00:41:39.694000,2,Yellow,Melbourne,2018
7,0 days 00:41:54.199000,1,AllClear,Melbourne,2018
8,0 days 00:42:09.798000,2,Yellow,Melbourne,2018
9,0 days 00:43:06.320000,1,AllClear,Melbourne,2018
10,0 days 00:44:01.324000,2,Yellow,Melbourne,2018
11,0 days 00:44:59.666000,6,VSCDeployed,Melbourne,2018
12,0 days 00:49:00.615000,4,SCDeployed,Melbourne,2018
13,0 days 00:57:11.990000,1,AllClear,Melbourne,2018
14,0 days 00:08:08.643000,2,Yellow,Sakhir,2018
15,0 days 00:08:14.695000,1,AllClear,Sakhir,2018
16,0 days 00:08:26.014000,2,Yellow,Sakhir,2018
17,0 days 00:08:51.074000,1,AllClear,Sakhir,2018
18,0 days 00:09:57.697000,2,Yellow,Sakhir,2018
19,0 days 00:10:24.916000,1,AllClear,Sakhir,2018
20,0 days 00:10:32.280000,2,Yellow,Sakhir,2018
21,0 days 00:10:41.473000,6,VSCDeployed,Sakhir,2018
22,0 days 00:14:18.149000,7,VSCEnding,Sakhir,2018
23,0 days 00:14:28.726000,1,AllClear,Sakhir,2018
24,0 days 00:16:12.118000,2,Yellow,Sakhir,2018
25,0 days 00:16:52.560000,1,AllClear,Sakhir,2018
26,0 days 00:16:54.296000,2,Yellow,Sakhir,2018
27,0 days 00:17:03.081000,1,AllClear,Sakhir,2018
28,0 days 00:24:49.514000,2,Yellow,Sakhir,2018
29,0 days 00:25:07.399000,1,AllClear,Sakhir,2018
30,0 days 00:51:26.333000,2,Yellow,Sakhir,2018
31,0 days 00:51:37.393000,1,AllClear,Sakhir,2018
32,0 days 01:12:30.099000,2,Yellow,Sakhir,2018
33,0 days 01:12:43.186000,1,AllClear,Sakhir,2018
34,0 days 00:56:48.669000,2,Yellow,Shanghai,2018
35,0 days 00:56:55.543000,1,AllClear,Shanghai,2018
36,0 days 00:56:56.675000,2,Yellow,Shanghai,2018
37,0 days 00:57:01.660000,1,AllClear,Shanghai,2018
38,0 days 00:58:51.111000,4,SCDeployed,Shanghai,2018
39,0 days 01:08:59.294000,1,AllClear,Shanghai,2018
40,0 days 01:22:07.472000,2,Yellow,Shanghai,2018
41,0 days 01:22:15.100000,1,AllClear,Shanghai,2018
42,0 days 00:08:08.035000,2,Yellow,Baku,2018
43,0 days 00:08:31.311000,4,SCDeployed,Baku,2018
44,0 days 00:20:55.542000,1,AllClear,Baku,2018
45,0 days 00:29:45.887000,2,Yellow,Baku,2018
46,0 days 00:29:57.038000,1,AllClear,Baku,2018
